CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;QT_ACAO_ORDIN_CAP_INTEGR;QT_ACAO_PREF_CAP_INTEGR;QT_ACAO_TOTAL_CAP_INTEGR;QT_ACAO_ORDIN_TESOURO;QT_ACAO_PREF_TESOURO;QT_ACAO_TOTAL_TESOURO
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;2865417020;0;2865417020;11780761;0;11780761
00.000.208/0001-00;2022-12-31;3;BRB BANCO DE BRASILIA S.A.;280146;82900;363046;0;0;0
00.001.180/0001-26;2022-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2021139;280088;2301228;0;0;0
00.070.698/0001-11;2022-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;35920890;36161025;72081915;0;0;0
00.080.671/0001-00;2022-12-31;1;CARAMURU ALIMENTOS S.A.;24444000;0;24444000;0;0;0
00.192.769/0001-59;2022-12-31;1;NEUMARKT TRADE AND FINANCIAL CENTER S/A;10000;0;10000;0;0;0
00.194.724/0001-13;2022-12-31;1;AUREN OPERAÇÕES S.A.;2014441535;0;2014441535;0;0;0
00.242.184/0001-04;2022-12-31;2;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;346016041;0;346016041;686800;0;686800
00.272.185/0001-93;2022-12-31;1;CIMS S.A.;20329170;40658180;60987350;0;0;0
00.336.701/0001-04;2022-12-31;1;TELEC BRASILEIRAS S.A. TELEBRAS;67975599;18407491;86383090;193;0;193
00.359.742/0001-08;2022-12-31;1;FICTOR ALIMENTOS S.A.;23805;0;23805;0;0;0
00.383.281/0001-09;2022-12-31;1;BNDES PARTICIPACOES S.A. - BNDESPAR;1000000;0;1000000;0;0;0
00.389.481/0001-79;2022-12-31;1;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;211816;0;211816;0;0;0
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;1293373691;1285229952;2578603643;0;0;0
