CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;QT_ACAO_ORDIN_CAP_INTEGR;QT_ACAO_PREF_CAP_INTEGR;QT_ACAO_TOTAL_CAP_INTEGR;QT_ACAO_ORDIN_TESOURO;QT_ACAO_PREF_TESOURO;QT_ACAO_TOTAL_TESOURO
00.000.000/0001-91;2023-12-31;1;BCO BRASIL S.A.;2865417020;0;2865417020;11640980;0;11640980
00.000.208/0001-00;2023-12-31;6;BRB BANCO DE BRASILIA S.A.;280146500;82900000;363046500;0;0;0
00.001.180/0001-26;2023-12-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2027011;280088;2307099;49810;6842;56652
00.070.698/0001-11;2023-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;35920890;36161025;72081915;0;0;0
00.080.671/0001-00;2023-12-31;1;CARAMURU ALIMENTOS S.A.;24444000;0;24444000;0;0;0
00.192.769/0001-59;2023-12-31;1;NEUMARKT TRADE AND FINANCIAL CENTER S/A;10000;0;10000;0;0;0
00.194.724/0001-13;2023-12-31;2;AUREN OPERAÇÕES S.A.;2014441535;0;2014441535;0;0;0
00.242.184/0001-04;2023-12-31;1;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;346016041;0;346016041;406229;0;406229
00.272.185/0001-93;2023-12-31;1;CIMS S.A.;22976853;45953546;68930399;0;0;0
00.336.701/0001-04;2023-12-31;1;TELEC BRASILEIRAS S.A. TELEBRAS;67975599;18407491;86383090;193;0;193
00.357.038/0001-16;2023-12-31;1;CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;168044751;0;168044751;10713;0;10713
00.359.742/0001-08;2023-12-31;1;FICTOR ALIMENTOS S.A.;23805;0;23805;0;0;0
00.383.281/0001-09;2023-12-31;2;BNDES PARTICIPACOES S.A. - BNDESPAR;1000000;0;1000000;0;0;0
00.389.481/0001-79;2023-12-31;2;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;212;0;212;0;0;0
00.545.378/0001-70;2023-12-31;1;SERRA AZUL WATER PARK SA;29188114;0;29188114;2;0;2
00.622.416/0001-41;2023-12-31;1;STATKRAFT ENERGIAS RENOVAVEIS S.A.;645753340;0;645753340;0;0;0
00.644.907/0001-93;2023-12-31;1;INVESTCO S.A.;402202;384204;786406;0;0;0
00.743.065/0001-27;2023-12-31;1;LITEL PARTICIPACOES S.A.;215495;0;215495;0;0;0
00.776.574/0001-56;2023-12-31;1;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;902529503;0;902529503;7416;0;7416
00.864.214/0001-06;2023-12-31;3;ENERGISA S.A.;800898864;1238187676;2039086540;754475;3017900;3772375
00.873.894/0001-24;2023-12-31;1;LETS RENT A CAR S/A;578986;0;578986;0;0;0
00.897.864/0001-58;2023-12-31;1;SANTA CATARINA PART INVEST SA;200;0;200;0;0;0
00.924.429/0001-75;2023-12-31;1;FERROVIA CENTRO-ATLANTICA S.A.;142807784;19;142807803;0;0;0
00.938.574/0001-05;2023-12-31;1;CONC RIO-TERESOPOLIS S.A.;48786;37680;86466;0;0;0
00.974.211/0001-25;2023-12-31;1;LINHA AMARELA S.A. - LAMSA;70666879;141333771;212000650;0;0;0
00.979.969/0001-56;2023-12-31;1;CAIXA ADM DIV PUB ESTADUAL SA;69150262;0;69150262;0;0;0
