CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;7.02.04.01;Ganho (perda) líquido decorrente de mudança de valor justo dos ativos biológicos;-39590.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;7.02.04.01;Ganho (perda) líquido decorrente de mudança de valor justo dos ativos biológicos;-18228.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;7.02.04.02;Reconhecimento (baixa) de valor justo de CBIOS;19620.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;7.02.04.02;Reconhecimento (baixa) de valor justo de CBIOS;-16592.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;7.02.04.03;Ganho por compra vantajosa em controlada;428011.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;7.02.04.03;Ganho por compra vantajosa em controlada;0.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;7.03;Valor Adicionado Bruto;1983434.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;7.03;Valor Adicionado Bruto;1756390.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;7.04;Retenções;-574962.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;7.04;Retenções;-1026422.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;7.04.01;Depreciação, Amortização e Exaustão;-574962.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;7.04.01;Depreciação, Amortização e Exaustão;-1026422.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;7.04.02;Outras;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;7.04.02;Outras;0.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;7.05;Valor Adicionado Líquido Produzido;1408472.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;7.05;Valor Adicionado Líquido Produzido;729968.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;7.06;Vlr Adicionado Recebido em Transferência;820734.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;7.06;Vlr Adicionado Recebido em Transferência;1199249.0000000000;S
