IBOV - Carteira do Dia 13/01/25
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
EGIE3;ENGIE BRASIL;ON      NM;255.236.938;0,461;
EQTL3;EQUATORIAL;ON      NM;1.249.258.717;1,754;
FLRY3;FLEURY;ON      NM;455.988.366;0,279;
GGBR4;GERDAU;PN      N1;1.242.683.687;1,079;
GOAU4;GERDAU MET;PN      N1;649.238.303;0,316;
NTCO3;GRUPO NATURA;ON      NM;850.935.197;0,554;
HAPV3;HAPVIDA;ON      NM;4.779.395.040;0,544;
HYPE3;HYPERA;ON      NM;370.735.677;0,342;
IGTI11;IGUATEMI S.A;UNT     N1;211.783.588;0,184;
IRBR3;IRBBRASIL RE;ON      NM;81.838.243;0,195;
ISAE4;ISA ENERGIA;PN  EJ  N1;395.801.044;0,462;
ITSA4;ITAUSA;PN      N1;5.778.248.950;2,587;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;4.792.902.422;7,591;
JBSS3;JBS;ON      NM;1.145.962.972;2,094;
KLBN11;KLABIN S/A;UNT     N2;765.785.673;0,875;
RENT3;LOCALIZA;ON      NM;965.986.531;1,442;
LREN3;LOJAS RENNER;ON      NM;1.051.120.777;0,697;
LWSA3;LWSA;ON      NM;389.635.155;0,068;
MGLU3;MAGAZ LUIZA;ON      NM;353.448.195;0,110;
POMO4;MARCOPOLO;PN      N2;666.378.439;0,252;
MRFG3;MARFRIG;ON      NM;302.019.876;0,263;
BEEF3;MINERVA;ON      NM;261.359.935;0,069;
MRVE3;MRV;ON      NM;377.241.484;0,099;
MULT3;MULTIPLAN;ON  EJ  N2;314.150.156;0,329;
PCAR3;P.ACUCAR-CBD;ON      NM;462.534.972;0,066;
PETR3;PETROBRAS;ON      N2;2.255.782.178;4,771;
PETR4;PETROBRAS;PN      N2;4.431.132.660;8,461;
RECV3;PETRORECSA;ON      NM;275.170.410;0,233;
PRIO3;PETRORIO;ON      NM;779.999.989;1,719;
PETZ3;PETZ;ON      NM;293.689.428;0,062;
PSSA3;PORTO SEGURO;ON  EJ  NM;182.560.698;0,343;
RADL3;RAIADROGASIL;ON      NM;1.286.616.979;1,395;
RAIZ4;RAIZEN;PN      N2;1.198.936.529;0,125;
RDOR3;REDE D OR;ON      NM;1.145.289.019;1,555;
RAIL3;RUMO S.A.;ON      NM;1.216.914.397;1,083;
SBSP3;SABESP;ON      NM;683.508.568;3,095;
SANB11;SANTANDER BR;UNT;356.586.730;0,439;
STBP3;SANTOS BRP;ON      NM;855.712.622;0,581;
SMTO3;SAO MARTINHO;ON      NM;128.130.966;0,161;
CSNA3;SID NACIONAL;ON;727.459.637;0,290;
SLCE3;SLC AGRICOLA;ON      NM;194.261.422;0,173;
SUZB3;SUZANO S.A.;ON      NM;630.821.784;2,003;
TAEE11;TAESA;UNT     N2;218.568.234;0,370;
VIVT3;TELEF BRASIL;ON;382.442.128;0,927;
TIMS3;TIM;ON      NM;807.495.418;0,577;
TOTS3;TOTVS;ON      NM;540.206.440;0,746;
UGPA3;ULTRAPAR;ON      NM;1.090.134.379;0,877;
USIM5;USIMINAS;PNA     N1;515.193.199;0,127;
VALE3;VALE;ON      NM;4.270.903.023;11,374;
VAMO3;VAMOS;ON      NM;485.166.826;0,111;
VBBR3;VIBRA;ON      NM;1.023.538.460;0,921;
VIVA3;VIVARA S.A.;ON      NM;125.446.075;0,120;
WEGE3;WEG;ON      NM;1.243.177.587;3,428;
YDUQ3;YDUQS PART;ON      NM;277.677.050;0,128;
Quantidade Teórica Total;;;98.370.249.996;100,000
Redutor;;;16.276.364,39223322
