CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;QT_ACAO_ORDIN_CAP_INTEGR;QT_ACAO_PREF_CAP_INTEGR;QT_ACAO_TOTAL_CAP_INTEGR;QT_ACAO_ORDIN_TESOURO;QT_ACAO_PREF_TESOURO;QT_ACAO_TOTAL_TESOURO
08.801.621/0001-86;2021-12-31;2;SYN PROP & TECH S.A.;152644;0;152644;0;0;0
08.807.432/0001-10;2021-12-31;1;YDUQS PARTICIPACOES S.A.;309089;0;309089;6976;0;6976
08.810.422/0001-34;2021-12-31;1;GUARARAPES PAINÉIS S.A.;97524234;0;97524234;0;0;0
08.811.643/0001-27;2021-12-31;1;TRISUL S.A.;186618;0;186618;4505;0;4505
08.822.767/0001-08;2021-12-31;1;CONCESSIONÁRIA DA RODOVIA MG-050 S.A.;1331978;0;1331978;0;0;0
08.827.501/0001-58;2021-12-31;1;AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.;709956474;309157764;1019114238;0;0;0
08.873.873/0001-10;2021-12-31;1;ECORODOVIAS CONCESSÕES E SERVIÇOS S.A.;2086715;0;2086715;0;0;0
08.902.291/0001-15;2021-12-31;1;CSN MINERAÇÃO S.A.;5485838838;0;5485838838;105407300;0;105407300
08.926.302/0001-05;2021-12-31;2;DOMMO ENERGIA S.A.;509685069;0;509685069;0;0;0
08.935.054/0001-50;2021-12-31;1;MULTINER S/A;7877740;6843557;14721297;0;0;0
08.937.002/0001-13;2021-12-31;1;VISION SECURITIZADORA S.A.;2370202;0;2370202;0;0;0
09.041.168/0001-10;2021-12-31;1;LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES;102159;0;102159;1048;0;1048
09.042.817/0001-05;2021-12-31;1;BEMOBI MOBILE TECH S.A.;90909092;0;90909092;2304200;0;2304200
09.053.134/0001-45;2021-12-31;1;ELFA MEDICAMENTOS S.A.;491273364;0;491273364;0;0;0
09.054.385/0001-44;2021-12-31;1;INBRANDS S.A.;138442514;0;138442514;0;0;0
09.074.183/0001-64;2021-12-31;1;TRANSBRASILIANA CONCESSIONÁRIA DE RODOVIA S.A;428071224;0;428071224;0;0;0
09.095.183/0001-40;2021-12-31;1;ENERGISA PARAÍBA - DISTRIBUIDORA DE ENERGIA S/A;918160;0;918160;0;0;0
09.112.685/0001-32;2021-12-31;1;OSX BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL;3148038;0;3148038;0;0;0
09.114.805/0001-30;2021-12-31;2;OCEANPACT SERVIÇOS MARITIMOS S.A.;199959554;0;199959554;19344250;0;19344250
09.116.278/0001-01;2021-12-31;1;CONPEL CIA NORDESTINA PAPEL - EM RECUPERAÇÃO JUDICIAL;14049;4073;18122;0;0;0
